,Map,Team 1 ID,Team 2 ID,score_diff,winner
24264,Cache,4991,5995,-6,5995
24265,Train,7557,6290,3,7557
24266,Cache,7557,6290,6,7557
24267,Train,5974,6673,12,5974
24268,Mirage,5974,6673,13,5974
24269,Overpass,5988,5973,-2,5973
24270,Overpass,6902,6651,-7,6651
24271,Train,6615,6665,-4,6665
24272,Cobblestone,7533,4991,-3,4991
24273,Cache,4494,5310,9,4494
24274,Cobblestone,4608,5991,10,4608
24275,Mirage,6667,6137,-2,6137
24284,Train,6665,5995,11,6665
24285,Dust2,4991,4494,5,4991
24286,Nuke,5973,6667,-4,6667
24287,Cache,6902,5991,-13,5991
24288,Mirage,7533,5310,4,7533
24289,Nuke,5378,5995,2,5378
24290,Train,6651,5378,-6,5378
24291,Dust2,6137,4608,-13,4608
24303,Cache,6902,6615,8,6902
24304,Cobblestone,5991,4991,-5,4991
24305,Overpass,7533,6902,2,7533
24306,Nuke,4494,5973,-12,5973
24307,Overpass,7533,5995,7,7533
24308,Overpass,6651,6667,2,6651
24309,Dust2,6137,6665,2,6137
24310,Train,5988,6615,-3,6615
24321,Mirage,5973,6665,-13,6665
24322,Nuke,6667,5991,5,6667
24341,Cache,4991,6651,9,4991
24342,Overpass,4991,6651,-13,6651
24343,Dust2,4991,6651,9,4991
24344,Overpass,5378,7533,12,5378
24345,Cache,5378,7533,-4,7533
24346,Cobblestone,5378,7533,3,5378
24347,Overpass,4608,6665,-9,6665
24348,Mirage,4608,6665,2,4608
24349,Dust2,4608,6665,-6,6665
24357,Cache,6665,4991,3,6665
24358,Nuke,6665,4991,11,6665
24359,Mirage,6667,6137,9,6667
24360,Train,6667,6137,-13,6137
24361,Overpass,6667,6137,-11,6137
24362,Train,5378,6137,2,5378
24363,Cobblestone,5378,6137,2,5378
24371,Nuke,6665,5378,-4,5378
24372,Overpass,6665,5378,2,6665
24373,Train,6665,5378,2,6665
24378,Dust2,7532,7331,8,7532
24379,Mirage,7532,4803,-3,4803
24449,Mirage,7583,7532,-10,7532
24466,Nuke,7532,4501,2,7532
24467,Dust2,7532,4501,8,7532
24501,Cobblestone,6736,6301,2,6736
24502,Mirage,6736,6301,-10,6301
24503,Cache,6736,6301,4,6736
24508,Cache,5974,7557,-2,7557
24509,Train,5974,7557,-5,7557
24510,Cobblestone,7010,5973,-2,5973
24511,Overpass,7010,5973,14,7010
24512,Cache,7010,5973,14,7010
24521,Train,5974,7010,-8,7010
24522,Cobblestone,5974,7010,-11,7010
24523,Mirage,7175,4688,3,7175
24524,Nuke,7175,4688,4,7175
24525,Overpass,5973,7557,8,5973
24526,Cache,5973,7557,7,5973
24530,Train,5995,4991,-10,4991
24531,Cache,5995,4991,-4,4991
24535,Cobblestone,7532,5988,-11,5988
24536,Train,7532,5988,8,7532
24537,Mirage,7532,5988,-3,5988
24541,Cobblestone,4602,6902,-5,6902
24542,Mirage,4602,6902,6,4602
24543,Train,4602,6902,10,4602
24544,Mirage,4991,4494,6,4991
24545,Cache,4991,4494,-4,4494
24546,Overpass,4991,4494,10,4991
24547,Nuke,5995,5988,4,5995
24548,Cache,5995,5988,8,5995
24552,Dust2,5991,7175,3,5991
24553,Mirage,5991,7175,-9,7175
24554,Train,5991,7175,-4,7175
24558,Cobblestone,6902,4494,4,6902
24559,Nuke,6902,4494,-7,4494
24560,Cache,6902,4494,-13,4494
24563,Cobblestone,7532,5991,10,7532
24564,Nuke,7532,5991,-2,5991
24565,Dust2,7532,5991,-4,5991
24570,Cache,4494,4688,3,4494
24571,Dust2,4494,4688,-6,4688
24572,Mirage,4494,4688,9,4494
24578,Cache,5995,7175,-8,7175
24579,Overpass,5995,7175,-3,7175
24580,Dust2,4602,5991,-7,5991
24581,Train,4602,5991,6,4602
24582,Nuke,4602,5991,-7,5991
24585,Mirage,4608,7175,7,4608
24586,Nuke,4608,7175,12,4608
24589,Cobblestone,7010,5973,12,7010
24590,Cache,7010,5973,5,7010
24591,Overpass,6301,7598,3,6301
24592,Mirage,6301,7598,2,6301
24593,Dust2,5995,5991,13,5995
24594,Train,5995,5991,4,5995
24597,Cache,6301,4643,-9,4643
24598,Overpass,6301,4643,14,6301
24599,Dust2,6301,4643,-4,4643
24603,Cobblestone,7557,5973,-12,5973
24604,Mirage,7557,5973,-8,5973
24607,Dust2,7175,4494,-8,4494
24608,Overpass,7175,4494,3,7175
24609,Mirage,7175,4494,3,7175
24630,Cobblestone,7532,4688,5,7532
24631,Dust2,7532,4688,4,7532
24632,Nuke,4494,6665,-5,6665
24633,Dust2,6134,6667,8,6134
24634,Nuke,6902,7168,7,6902
24635,Nuke,6902,4688,12,6902
24636,Nuke,6665,4608,12,6665
24638,Nuke,6301,6171,8,6301
24640,Mirage,6665,4494,-8,4494
24641,Overpass,4608,6665,5,4608
24643,Train,4411,7175,-5,7175
24644,Overpass,6667,6134,-10,6134
24645,Nuke,7175,4411,9,7175
24657,Train,7175,6667,-9,6667
24658,Nuke,6375,7532,-11,7532
24659,Nuke,4501,7532,-2,7532
24660,Overpass,4991,7533,-4,7533
24661,Overpass,6667,7175,3,6667
24663,Dust2,6902,7578,14,6902
24664,Nuke,7157,6375,6,7157
24665,Cobblestone,5378,4608,8,5378
24667,Mirage,7533,4991,11,7533
24668,Train,4494,4411,6,4494
24669,Cobblestone,5005,6673,-10,6673
24671,Nuke,7157,7607,2,7157
24676,Train,6736,6615,-8,6615
24677,Cache,7104,5752,-13,5752
24678,Cobblestone,6137,7010,9,6137
24680,Dust2,6301,7590,4,6301
24681,Nuke,6673,5005,-9,5005
24683,Dust2,4411,4494,-8,4494
24684,Cobblestone,5752,7104,7,5752
24686,Train,4608,5378,6,4608
24687,Cache,7010,6137,-5,6137
24688,Dust2,6615,6736,4,6615
24705,Cache,5310,4674,-5,4674
24706,Dust2,7168,7532,-15,7532
24708,Nuke,4674,5310,9,4674
24710,Cobblestone,5995,5991,-4,5991
24713,Overpass,5378,6134,-4,6134
24715,Dust2,7555,7157,-14,7157
24716,Overpass,6290,7010,-5,7010
24717,Train,5991,6667,-4,6667
24719,Cobblestone,5974,6736,-9,6736
24720,Nuke,6301,7575,9,6301
24722,Mirage,6736,5974,-5,5974
24723,Cobblestone,6134,5378,-7,5378
24725,Dust2,6667,5991,-5,5991
24728,Cobblestone,7557,7104,5,7557
24729,Cache,5991,5995,5,5991
24730,Mirage,7104,7557,-4,7557
24731,Dust2,7010,6290,3,7010
24732,Dust2,6615,6211,2,6615
24735,Cobblestone,6211,6615,-11,6615
24746,Overpass,7157,6375,12,7157
24747,Cache,7157,6375,-6,6375
24748,Nuke,7157,6375,-7,6375
24765,Dust2,6301,4643,-5,4643
24766,Cache,6137,5005,7,6137
24767,Cobblestone,6290,6211,2,6290
24768,Overpass,5005,6137,-6,6137
24770,Dust2,6211,6290,-6,6290
24774,Cache,5974,6386,2,5974
24778,Mirage,6386,5974,-11,5974
24779,Cache,5973,7557,11,5973
24781,Cobblestone,7557,5973,-5,5973
24802,Nuke,7532,7331,-12,7331
24803,Dust2,7532,7331,3,7532
24804,Cobblestone,7532,7331,8,7532
24819,Overpass,7157,7318,3,7157
24820,Mirage,7157,7318,7,7157
24846,Train,5988,7157,-6,7157
24847,Nuke,5988,7157,-4,7157
24870,Nuke,4602,7157,-4,7157
24871,Train,4602,7157,5,4602
24872,Mirage,4602,7157,4,4602
24883,Dust2,6902,6375,11,6902
24900,Cobblestone,6137,4863,11,6137
24904,Cobblestone,5378,7557,4,5378
24907,Nuke,6665,5005,11,6665
24909,Cache,7105,6301,4,7105
24911,Cache,7532,7566,-5,7566
24912,Inferno,7533,6615,-5,6615
24913,Inferno,4991,6651,-8,6651
24925,Nuke,6665,6615,7,6665
24931,Mirage,6211,4608,-10,4608
24933,Nuke,5005,7533,-12,7533
24936,Cobblestone,4863,4411,-11,4411
24942,Mirage,7557,4991,-7,4991
24946,Mirage,6667,6211,2,6667
24948,Cobblestone,4608,4494,-4,4494
24949,Overpass,4411,5752,-2,5752
24963,Cache,6301,6057,7,6301
24964,Mirage,6667,4494,-6,4494
24966,Overpass,6137,5752,10,6137
24967,Cobblestone,5378,6651,-6,6651
24968,Nuke,7533,6615,14,7533
24969,Cobblestone,7533,6615,9,7533
24970,Cobblestone,4411,5752,-14,5752
24971,Train,4411,5752,10,4411
24972,Cache,4411,5752,3,4411
24973,Mirage,4991,5378,-7,5378
24974,Cobblestone,4991,5378,-14,5378
24975,Mirage,4608,6667,10,4608
24976,Nuke,4608,6667,-3,6667
24977,Train,4608,6667,5,4608
24986,Train,4494,5378,-8,5378
24987,Mirage,4494,5378,-2,5378
24988,Nuke,6651,7533,-5,7533
24989,Inferno,6651,7533,-2,7533
25002,Mirage,6301,7217,8,6301
25005,Overpass,4688,7157,3,4688
25009,Overpass,6094,4674,7,6094
25028,Cobblestone,6301,7558,-9,7558
25029,Mirage,6301,7558,8,6301
25030,Train,6301,7558,13,6301
25037,Inferno,6665,4411,10,6665
25038,Mirage,6665,4411,9,6665
25039,Nuke,5378,6665,13,5378
25040,Overpass,5378,6665,-7,6665
25041,Train,5378,6665,12,5378
25042,Mirage,6137,4608,3,6137
25043,Train,6137,4608,9,6137
25044,Nuke,6301,6710,-7,6710
25045,Cobblestone,6301,6710,4,6301
25046,Cache,6301,6710,-7,6710
25047,Cache,7533,6137,-2,6137
25048,Mirage,7533,6137,-7,6137
25070,Cache,6902,7234,12,6902
25087,Cobblestone,5378,6137,-8,6137
25088,Train,5378,6137,5,5378
25089,Mirage,5378,6137,3,5378
25092,Nuke,7532,6758,-2,6758
25093,Mirage,7532,6758,9,7532
25094,Cobblestone,7532,6758,-11,6758
25096,Cobblestone,7175,4674,-2,4674
25097,Overpass,4674,7175,-4,7175
25098,Dust2,7157,7234,13,7157
25099,Cache,7157,7578,4,7157
25102,Cobblestone,5310,5991,9,5310
25104,Train,5991,5310,6,5991
25111,Train,7532,7331,4,7532
25112,Cache,7532,7331,12,7532
25116,Cache,7532,7145,5,7532
25117,Mirage,7532,7145,8,7532
25121,Cobblestone,6710,6301,-2,6301
25124,Cache,6902,5988,-3,5988
25126,Overpass,5974,6290,2,5974
25128,Cobblestone,6673,5973,-2,5973
25135,Cache,6290,5974,6,6290
25136,Cobblestone,4991,5995,2,4991
25137,Cache,5973,6673,-3,6673
25144,Train,7175,7169,6,7175
25145,Mirage,7175,7169,3,7175
25150,Overpass,4674,6665,-8,6665
25151,Cobblestone,6134,4494,-2,4494
25154,Inferno,6665,4674,2,6665
25162,Overpass,6615,7010,11,6615
25163,Nuke,4494,6134,11,4494
25167,Dust2,7532,6758,8,7532
25171,Cobblestone,7010,6615,10,7010
25176,Cache,6386,5752,-10,5752
25178,Overpass,5752,6386,12,5752
25193,Overpass,7175,6094,-5,6094
25194,Nuke,7175,6094,-2,6094
25203,Cache,6736,7557,-12,7557
25205,Cobblestone,7592,6301,-13,6301
25206,Cache,5973,5005,5,5973
25213,Overpass,5005,5973,-7,5973
25214,Cache,5752,6211,15,5752
25215,Cobblestone,7104,6137,-4,6137
25216,Mirage,7557,6736,11,7557
25223,Mirage,6211,5752,-10,5752
25224,Mirage,6137,7104,2,6137
25225,Nuke,7175,4501,2,7175
25226,Mirage,7175,4501,9,7175
25259,Mirage,6301,7630,13,6301
25261,Mirage,7157,7489,3,7157
25263,Cobblestone,5395,7175,-8,7175
25272,Cobblestone,6301,7632,11,6301
25273,Mirage,6301,7632,2,6301
25276,Train,7157,7175,6,7157
25277,Nuke,7157,7175,-7,7175
25278,Mirage,7157,7175,14,7157
25281,Overpass,7175,7331,-4,7331
25282,Train,7175,7331,13,7175
25283,Nuke,7175,7331,3,7175
25284,Train,6301,5479,5,6301
25285,Cobblestone,6301,5479,11,6301
25286,Overpass,4602,7157,-4,7157
25287,Train,4602,7157,-11,7157
25315,Cobblestone,7157,7020,2,7157
25322,Cache,6386,6301,2,6386
25323,Cobblestone,6386,6301,-3,6301
25324,Mirage,6386,6301,5,6386
25327,Train,4674,7367,-2,7367
25328,Cobblestone,4674,7367,6,4674
25329,Inferno,4674,7367,14,4674
25339,Train,5005,7217,13,5005
25340,Inferno,5005,7217,9,5005
25345,Cobblestone,7532,7331,4,7532
25347,Cobblestone,6902,7639,2,6902
25348,Cobblestone,7566,6902,4,7566
25352,Mirage,7157,7145,3,7157
25353,Overpass,7157,7145,3,7157
25363,Mirage,6301,7592,12,6301
25364,Train,6301,7592,7,6301
25365,Nuke,4674,7020,-10,7020
25366,Cobblestone,4674,7020,-4,7020
25375,Train,7010,6665,-2,6665
25378,Train,6665,6667,-2,6667
25379,Train,6667,7010,3,6667
25382,Train,6667,6665,-8,6665
25383,Train,6615,6667,-4,6667
25384,Cache,4411,6667,-10,6667
25385,Inferno,6615,7010,-8,7010
25386,Train,6667,4991,5,6667
25387,Cache,6665,7010,-4,7010
25389,Train,6615,4991,-6,4991
25391,Inferno,6615,4411,-3,4411
25393,Inferno,6665,4991,2,6665
25394,Cobblestone,4411,7010,-2,7010
25395,Overpass,6667,7010,10,6667
25396,Mirage,7010,4991,2,7010
25398,Train,6615,6665,-4,6665
25400,Overpass,4411,6665,-4,6665
25401,Cache,4411,4991,-2,4991
25410,Mirage,7157,6134,-4,6134
25411,Inferno,7157,6134,5,7157
25412,Cobblestone,6211,6301,-2,6301
25413,Mirage,6211,6301,10,6211
25425,Overpass,5005,7106,11,5005
25426,Train,5005,7106,3,5005
25432,Mirage,5752,4608,-10,4608
25440,Overpass,4608,7175,-4,7175
25443,Nuke,7175,5378,2,7175
25446,Cobblestone,7533,6137,-8,6137
25447,Cobblestone,4608,7533,-4,7533
25448,Cobblestone,7533,5378,3,7533
25449,Cobblestone,5752,7533,-4,7533
25451,Inferno,6137,5378,-2,5378
25452,Overpass,4608,6137,4,4608
25454,Mirage,6137,7175,11,6137
25460,Cobblestone,5752,7175,9,5752
25462,Mirage,5752,5378,-12,5378
25464,Nuke,5752,6137,7,5752
25465,Train,4608,5378,7,4608
25466,Nuke,7533,7175,-2,7175
25470,Cache,4674,5929,4,4674
25471,Overpass,4674,5929,8,4674
25474,Mirage,5988,7157,-9,7157
25475,Cache,5988,7157,3,5988
25481,Train,5005,5956,6,5005
25482,Overpass,5005,5956,9,5005
25485,Mirage,6301,7531,7,6301
25486,Cobblestone,6301,7531,7,6301
25507,Mirage,6301,7624,12,6301
25513,Mirage,7106,6301,4,7106
25515,Mirage,6301,6736,-4,6736
25516,Inferno,6301,6736,5,6301
25522,Mirage,6665,4608,5,6665
25523,Nuke,6665,4608,14,6665
25524,Cobblestone,7557,6211,-7,6211
25525,Mirage,7557,6211,6,7557
25526,Cache,7010,7533,2,7010
25527,Overpass,7010,7533,-4,7533
25528,Cobblestone,7010,7533,10,7010
25547,Train,7175,6665,-4,6665
25548,Nuke,7175,6665,-4,6665
25549,Inferno,6667,7010,7,6667
25550,Mirage,6667,7010,6,6667
25565,Mirage,7557,7624,4,7557
25566,Inferno,7557,7624,12,7557
25574,Cache,6667,6665,7,6667
25575,Overpass,6667,6665,-4,6665
25576,Nuke,6667,6665,-4,6665
25577,Inferno,6667,6665,-3,6665
25598,Cobblestone,6301,6386,9,6301
25599,Mirage,6301,6386,7,6301
25612,Inferno,4991,4674,3,4991
25615,Cache,4674,4991,-11,4991
25616,Overpass,5995,7175,-3,7175
25619,Train,7175,5995,-3,5995
25621,Cobblestone,7557,6301,13,7557
25622,Mirage,7557,6301,-8,6301
25631,Mirage,5929,7157,-3,7157
25632,Inferno,5929,7157,-2,7157
25641,Overpass,6290,6301,-2,6301
25642,Cobblestone,6290,6301,9,6290
25643,Train,6290,6301,-2,6301
25644,Inferno,4494,7020,-4,7020
25645,Mirage,4494,7020,8,4494
25646,Cobblestone,4494,7020,-2,7020
25650,Nuke,6665,5378,-4,5378
25652,Mirage,7157,6902,-4,6902
25653,Train,7157,4688,3,7157
25654,Inferno,5378,6665,8,5378
25656,Train,6987,6301,-10,6301
25657,Inferno,7533,5995,6,7533
25663,Cobblestone,6673,6386,10,6673
25667,Train,7010,5752,-7,5752
25668,Nuke,5995,7533,-3,7533
25670,Cobblestone,5752,7010,-8,7010
25671,Cache,6386,6673,-10,6673
25682,Nuke,4643,6211,-10,6211
25683,Cobblestone,4643,6211,2,4643
25699,Cobblestone,4991,7169,6,4991
25700,Train,4991,7169,3,4991
25702,Overpass,4411,6667,-7,6667
25706,Nuke,6667,4411,7,6667
25709,Train,5991,4608,-4,4608
25710,Mirage,7533,4494,-8,4494
25711,Cobblestone,7020,7532,9,7020
25712,Inferno,4494,7533,11,4494
25719,Cobblestone,5973,6736,8,5973
25721,Cache,6736,5973,-6,5973
25722,Inferno,4608,5991,10,4608
25726,Inferno,7557,5974,4,7557
25730,Cache,5974,7557,2,5974
25733,Inferno,7557,6386,11,7557
25734,Cobblestone,7557,6386,7,7557
25735,Cache,5973,6736,6,5973
25736,Cobblestone,5973,6736,14,5973
25741,Nuke,7157,6651,-3,6651
25742,Train,7157,6651,-13,6651
25749,Nuke,5995,6896,10,5995
25750,Inferno,5995,6896,14,5995
25775,Cache,6290,6137,-8,6137
25781,Cobblestone,6137,6290,8,6137
25782,Cache,6615,6673,-7,6673
25785,Cache,6211,5005,5,6211
25786,Nuke,5005,6211,-8,6211
25787,Train,6673,6615,4,6673
25795,Train,6211,4643,14,6211
25796,Cache,6211,4643,9,6211
25807,Train,6211,7624,13,6211
25808,Mirage,6211,7624,9,6211
25816,Cobblestone,5991,7532,-7,7532
25817,Train,5991,7532,12,5991
25818,Cache,5991,7532,12,5991
25825,Cobblestone,7557,5005,-2,5005
25826,Train,7557,5005,10,7557
25827,Inferno,7557,5005,10,7557
25832,Mirage,7532,5395,2,7532
25834,Mirage,6301,7624,7,6301
25835,Train,6301,7624,4,6301
25836,Inferno,6651,7533,-7,7533
25837,Cache,6651,7533,-8,7533
25838,Overpass,7010,6386,6,7010
25839,Cobblestone,7010,6386,11,7010
25842,Mirage,6902,7175,3,6902
25843,Overpass,6902,7175,-3,7175
25844,Train,6902,7175,2,6902
25857,Nuke,5752,7106,5,5752
25858,Mirage,5752,7106,3,5752
25865,Cache,7145,7533,-4,7533
25866,Overpass,7145,7533,3,7145
25869,Cobblestone,6301,6710,2,6301
25870,Train,6301,6710,-10,6710
25879,Cobblestone,7557,4643,9,7557
25880,Train,7557,4643,-4,4643
25889,Cache,6134,7533,-12,7533
25890,Overpass,6134,7533,-12,7533
25891,Cache,5973,6301,6,5973
25892,Inferno,5973,6301,15,5973
25893,Mirage,7557,6736,3,7557
25894,Cobblestone,7557,6736,8,7557
25895,Cobblestone,5974,6710,2,5974
25896,Inferno,5974,6710,-11,6710
25897,Cache,5974,6710,11,5974
25901,Cobblestone,7533,5929,9,7533
25902,Inferno,7533,5929,-9,5929
25911,Mirage,6896,7533,-3,7533
25912,Cobblestone,6896,7533,-3,7533
